entry_id,persona_id,t_index,date,persona_name,persona_age,persona_profession,persona_culture,session_chars,prompt_chars,alignment_self_direction,alignment_stimulation,alignment_hedonism,alignment_achievement,alignment_power,alignment_security,alignment_conformity,alignment_tradition,alignment_benevolence,alignment_universalism
013d8101__0,013d8101,0,2025-12-01,Emma Lindqvist,25-34,Teacher,Western European,375,11444,0,0,0,0,0,1,1,0,0,0
013d8101__1,013d8101,1,2025-12-11,Emma Lindqvist,25-34,Teacher,Western European,489,11558,0,0,0,0,0,1,0,0,1,0
013d8101__2,013d8101,2,2025-12-20,Emma Lindqvist,25-34,Teacher,Western European,935,12004,0,-1,0,0,0,1,0,0,0,0
019235dc__0,019235dc,0,2025-01-15,Megan Torres,18-24,Nurse,North American,408,11503,0,0,0,1,1,0,0,0,0,0
019235dc__1,019235dc,1,2025-01-15,Megan Torres,18-24,Nurse,North American,1765,12860,0,0,0,1,0,0,0,0,1,0
019235dc__2,019235dc,2,2025-01-22,Megan Torres,18-24,Nurse,North American,190,11285,0,0,0,1,0,0,0,0,-1,0
019235dc__3,019235dc,3,2025-01-29,Megan Torres,18-24,Nurse,North American,1195,12290,0,0,0,1,0,0,0,0,1,0
019235dc__4,019235dc,4,2025-02-01,Megan Torres,18-24,Nurse,North American,1732,12827,0,0,0,1,0,0,1,0,-1,0
019235dc__5,019235dc,5,2025-02-01,Megan Torres,18-24,Nurse,North American,426,11521,0,0,0,0,0,1,0,0,1,0
019235dc__6,019235dc,6,2025-02-02,Megan Torres,18-24,Nurse,North American,1233,12328,0,0,0,1,0,0,0,0,1,0
019235dc__7,019235dc,7,2025-02-07,Megan Torres,18-24,Nurse,North American,1285,12380,-1,0,0,0,0,0,1,0,1,0
019235dc__8,019235dc,8,2025-02-09,Megan Torres,18-24,Nurse,North American,128,11223,0,0,0,1,0,0,0,0,1,0
019235dc__9,019235dc,9,2025-02-09,Megan Torres,18-24,Nurse,North American,1099,12194,0,0,-1,1,0,0,0,0,1,0
01b6f22a__0,01b6f22a,0,2025-03-20,Tariq Mansour,35-44,Manager,Middle Eastern,1238,12324,0,0,0,1,1,0,0,0,1,0
01b6f22a__1,01b6f22a,1,2025-03-20,Tariq Mansour,35-44,Manager,Middle Eastern,1229,12315,0,0,0,0,0,0,0,0,1,0
01b6f22a__2,01b6f22a,2,2025-03-20,Tariq Mansour,35-44,Manager,Middle Eastern,147,11233,0,0,0,0,0,0,0,0,0,0
01b6f22a__3,01b6f22a,3,2025-03-26,Tariq Mansour,35-44,Manager,Middle Eastern,1222,12308,0,0,0,0,1,0,1,0,0,0
01b6f22a__4,01b6f22a,4,2025-03-30,Tariq Mansour,35-44,Manager,Middle Eastern,173,11259,0,0,0,0,0,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,Tariq Mansour,35-44,Manager,Middle Eastern,1207,12293,0,0,0,0,1,1,0,0,0,0
01b6f22a__6,01b6f22a,6,2025-04-05,Tariq Mansour,35-44,Manager,Middle Eastern,1283,12369,0,0,0,0,1,0,0,0,1,0
01b6f22a__7,01b6f22a,7,2025-04-07,Tariq Mansour,35-44,Manager,Middle Eastern,163,11249,0,0,0,0,0,0,0,0,1,0
01b6f22a__8,01b6f22a,8,2025-04-13,Tariq Mansour,35-44,Manager,Middle Eastern,788,11874,0,0,0,0,0,0,0,0,1,0
02fb94f3__0,02fb94f3,0,2025-04-15,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,774,11886,-1,0,0,0,0,0,1,0,0,0
02fb94f3__1,02fb94f3,1,2025-04-20,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,554,11666,-1,0,0,0,0,0,0,0,1,0
02fb94f3__2,02fb94f3,2,2025-04-21,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,667,11779,1,0,0,1,0,0,0,0,0,0
02fb94f3__3,02fb94f3,3,2025-04-27,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,373,11485,0,0,0,0,0,0,0,0,1,0
02fb94f3__4,02fb94f3,4,2025-05-02,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,1269,12381,1,0,0,0,0,0,-1,1,0,0
02fb94f3__5,02fb94f3,5,2025-05-02,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,318,11430,1,0,0,0,0,0,0,0,0,0
02fb94f3__6,02fb94f3,6,2025-05-05,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,1047,12159,1,0,0,1,0,0,0,-1,0,0
02fb94f3__7,02fb94f3,7,2025-05-06,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,1059,12171,0,0,0,0,0,0,0,1,1,0
02fb94f3__8,02fb94f3,8,2025-05-10,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,680,11792,1,0,0,0,0,0,0,1,0,0
02fb94f3__9,02fb94f3,9,2025-05-15,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,675,11787,1,0,0,1,0,0,0,0,0,0
02fb94f3__10,02fb94f3,10,2025-05-22,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,1393,12505,1,0,0,0,0,0,-1,0,0,0
02fb94f3__11,02fb94f3,11,2025-05-22,Noor Haddad,18-24,Parent (Stay-at-home),Middle Eastern,330,11442,0,0,0,0,0,0,1,0,0,0
0465b7ad__0,0465b7ad,0,2025-04-11,Lukas Vermeer,18-24,Artist,Western European,797,11866,1,0,0,0,0,0,0,1,0,0
0465b7ad__1,0465b7ad,1,2025-04-17,Lukas Vermeer,18-24,Artist,Western European,1155,12224,1,0,0,0,0,0,0,1,0,0
