entry_id,persona_id,t_index,date,persona_name,persona_age,persona_profession,persona_culture,session_chars,prompt_chars,alignment_self_direction,alignment_stimulation,alignment_hedonism,alignment_achievement,alignment_power,alignment_security,alignment_conformity,alignment_tradition,alignment_benevolence,alignment_universalism
013d8101__0,013d8101,0,2025-12-01,Emma Lindqvist,25-34,Teacher,Western European,375,11444,0,0,0,0,0,1,1,0,0,0
013d8101__2,013d8101,2,2025-12-20,Emma Lindqvist,25-34,Teacher,Western European,935,12004,0,-1,0,0,0,1,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,Megan Torres,18-24,Nurse,North American,426,11521,0,0,0,0,0,1,0,0,1,0
019235dc__9,019235dc,9,2025-02-09,Megan Torres,18-24,Nurse,North American,1099,12194,0,0,-1,1,0,0,0,0,1,0
01b6f22a__5,01b6f22a,5,2025-04-04,Tariq Mansour,35-44,Manager,Middle Eastern,1207,12293,0,0,0,0,1,1,0,0,0,0
056f46ad__0,056f46ad,0,2025-12-01,Tariq Al-Rashid,35-44,Manager,Middle Eastern,1560,12652,0,0,1,0,0,0,1,1,1,0
056f46ad__3,056f46ad,3,2025-12-28,Tariq Al-Rashid,35-44,Manager,Middle Eastern,575,11667,0,0,0,1,0,1,0,0,1,0
06f1d745__0,06f1d745,0,2025-12-04,Roberto Espinoza,45-54,Teacher,Latin American,786,11855,0,0,0,0,0,1,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,Roberto Espinoza,45-54,Teacher,Latin American,1768,12837,0,-1,0,0,0,1,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,Chen Wei-Lin,45-54,Teacher,East Asian,1295,12362,1,1,0,0,0,-1,-1,0,0,1
08c7f073__4,08c7f073,4,2025-10-17,Mathilde Delvaux,35-44,Artist,Western European,1220,12292,0,0,0,0,0,1,0,1,0,0
08c7f073__5,08c7f073,5,2025-10-20,Mathilde Delvaux,35-44,Artist,Western European,945,12017,0,-1,0,0,0,0,0,1,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,Fatima Al-Hassan,45-54,Nurse,Middle Eastern,1583,12656,0,0,-1,0,0,-1,0,0,1,0
0ad04582__1,0ad04582,1,2025-12-06,Chen Meiling,55+,Artist,East Asian,1411,12475,0,0,0,0,0,1,0,0,-1,0
0d272008__2,0d272008,2,2025-12-09,Marcus Chen,35-44,Entrepreneur,North American,672,11753,1,0,0,0,0,-1,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,Marcus Chen,35-44,Entrepreneur,North American,1000,12081,1,0,1,0,0,0,0,0,0,0
0d42f985__3,0d42f985,3,2025-08-25,Tariq Haddad,35-44,Grad Student,Middle Eastern,485,11587,0,0,-1,1,0,0,0,0,-1,0
0e9a45e9__0,0e9a45e9,0,2025-12-01,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1114,12216,1,0,0,0,0,-1,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,Karim Nazari,35-44,Entrepreneur,Middle Eastern,135,11237,1,0,1,0,0,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,Lukas Bergmann,18-24,Grad Student,Western European,682,11792,1,0,0,0,-1,-1,-1,-1,-1,0
110fcd4f__2,110fcd4f,2,2025-06-28,Lukas Bergmann,18-24,Grad Student,Western European,819,11929,1,0,-1,1,0,-1,-1,0,-1,0
11a31f12__5,11a31f12,5,2025-08-13,Valentina Reyes,25-34,Teacher,Latin American,1208,12314,0,0,-1,0,0,0,0,0,1,0
